experiment_name,phase,input_resolution,num_layers,conv_filters,final_feature_map_height,final_feature_map_width,final_channels,final_avg_pool,final_pool_area,final_pool_work,tier,weight_bits,activation_bits,pruning_target,reuse_factor,status,skip_reason,config_path
res64_layers2_W2A2_P0_RFbase,4,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_W2A2_P0_RFbase.yaml
res64_layers2_W3A3_P0_RFbase,4,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_W3A3_P0_RFbase.yaml
res64_layers2_W4A4_P0_RFbase,4,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_W4A4_P0_RFbase.yaml
res64_layers2_W6A6_P0_RFbase,4,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_W6A6_P0_RFbase.yaml
res64_layers2_W8A8_P0_RFbase,4,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_W8A8_P0_RFbase.yaml
res64_layers2_WfloatAfloat_P0_RFbase,2,64,2,"[8, 16]",8,8,16,"[8, 8]",64,1024,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res64_layers2_WfloatAfloat_P0_RFbase.yaml
res64_layers3_W2A2_P0_RFbase,4,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_W2A2_P0_RFbase.yaml
res64_layers3_W3A3_P0_RFbase,4,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_W3A3_P0_RFbase.yaml
res64_layers3_W4A4_P0_RFbase,4,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_W4A4_P0_RFbase.yaml
res64_layers3_W6A6_P0_RFbase,4,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_W6A6_P0_RFbase.yaml
res64_layers3_W8A8_P0_RFbase,4,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_W8A8_P0_RFbase.yaml
res64_layers3_WfloatAfloat_P0_RFbase,2,64,3,"[8, 16, 24]",4,4,24,"[4, 4]",16,384,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res64_layers3_WfloatAfloat_P0_RFbase.yaml
res64_layers4_W2A2_P0_RFbase,4,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_W2A2_P0_RFbase.yaml
res64_layers4_W3A3_P0_RFbase,4,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_W3A3_P0_RFbase.yaml
res64_layers4_W4A4_P0_RFbase,4,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_W4A4_P0_RFbase.yaml
res64_layers4_W6A6_P0_RFbase,4,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_W6A6_P0_RFbase.yaml
res64_layers4_W8A8_P0_RFbase,4,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_W8A8_P0_RFbase.yaml
res64_layers4_WfloatAfloat_P0_RFbase,2,64,4,"[8, 16, 24, 24]",2,2,24,"[2, 2]",4,96,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res64_layers4_WfloatAfloat_P0_RFbase.yaml
res64_layers5_W2A2_P0_RFbase,4,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_W2A2_P0_RFbase.yaml
res64_layers5_W3A3_P0_RFbase,4,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_W3A3_P0_RFbase.yaml
res64_layers5_W4A4_P0_RFbase,4,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_W4A4_P0_RFbase.yaml
res64_layers5_W6A6_P0_RFbase,4,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_W6A6_P0_RFbase.yaml
res64_layers5_W8A8_P0_RFbase,4,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_W8A8_P0_RFbase.yaml
res64_layers5_WfloatAfloat_P0_RFbase,2,64,5,"[8, 16, 24, 24, 32]",1,1,32,"[1, 1]",1,32,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res64_layers5_WfloatAfloat_P0_RFbase.yaml
res64_layers6_WfloatAfloat_P0_RFbase,2,64,6,"[8, 16, 24, 24, 32, 32]",0,0,32,"[0, 0]",0,0,red,float,float,0,1,skipped_red,final_avg_pool has nonpositive dimension,configs/hls4ml_experiment_global/res64_layers6_WfloatAfloat_P0_RFbase.yaml
res128_layers2_W2A2_P0_RFbase,4,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_W2A2_P0_RFbase.yaml
res128_layers2_W3A3_P0_RFbase,4,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_W3A3_P0_RFbase.yaml
res128_layers2_W4A4_P0_RFbase,4,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_W4A4_P0_RFbase.yaml
res128_layers2_W6A6_P0_RFbase,4,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_W6A6_P0_RFbase.yaml
res128_layers2_W8A8_P0_RFbase,4,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_W8A8_P0_RFbase.yaml
res128_layers2_WfloatAfloat_P0_RFbase,2,128,2,"[8, 16]",16,16,16,"[16, 16]",256,4096,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res128_layers2_WfloatAfloat_P0_RFbase.yaml
res128_layers3_W2A2_P0_RFbase,4,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_W2A2_P0_RFbase.yaml
res128_layers3_W3A3_P0_RFbase,4,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_W3A3_P0_RFbase.yaml
res128_layers3_W4A4_P0_RFbase,4,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_W4A4_P0_RFbase.yaml
res128_layers3_W6A6_P0_RFbase,4,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_W6A6_P0_RFbase.yaml
res128_layers3_W8A8_P0_RFbase,4,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_W8A8_P0_RFbase.yaml
res128_layers3_WfloatAfloat_P0_RFbase,2,128,3,"[8, 16, 24]",8,8,24,"[8, 8]",64,1536,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res128_layers3_WfloatAfloat_P0_RFbase.yaml
res128_layers4_W2A2_P0_RFbase,4,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_W2A2_P0_RFbase.yaml
res128_layers4_W3A3_P0_RFbase,4,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_W3A3_P0_RFbase.yaml
res128_layers4_W4A4_P0_RFbase,4,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_W4A4_P0_RFbase.yaml
res128_layers4_W6A6_P0_RFbase,4,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_W6A6_P0_RFbase.yaml
res128_layers4_W8A8_P0_RFbase,4,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_W8A8_P0_RFbase.yaml
res128_layers4_WfloatAfloat_P0_RFbase,2,128,4,"[8, 16, 24, 24]",4,4,24,"[4, 4]",16,384,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res128_layers4_WfloatAfloat_P0_RFbase.yaml
res128_layers5_W2A2_P0_RFbase,4,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_W2A2_P0_RFbase.yaml
res128_layers5_W3A3_P0_RFbase,4,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_W3A3_P0_RFbase.yaml
res128_layers5_W4A4_P0_RFbase,4,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_W4A4_P0_RFbase.yaml
res128_layers5_W6A6_P0_RFbase,4,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_W6A6_P0_RFbase.yaml
res128_layers5_W8A8_P0_RFbase,4,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_W8A8_P0_RFbase.yaml
res128_layers5_WfloatAfloat_P0_RFbase,2,128,5,"[8, 16, 24, 24, 32]",2,2,32,"[2, 2]",4,128,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res128_layers5_WfloatAfloat_P0_RFbase.yaml
res128_layers6_W8A8_P0_RFbase,4,128,6,"[8, 16, 24, 24, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res128_layers6_W8A8_P0_RFbase.yaml
res128_layers6_W8A8_P50_RFbase,4.5,128,6,"[8, 16, 24, 24, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res128_layers6_W8A8_P50_RFbase.yaml
res128_layers6_WfloatAfloat_P0_RFbase,2,128,6,"[8, 16, 24, 24, 32, 32]",1,1,32,"[1, 1]",1,32,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res128_layers6_WfloatAfloat_P0_RFbase.yaml
res256_layers2_WfloatAfloat_P0_RFbase_boundary,2,256,2,"[8, 16]",32,32,16,"[32, 32]",1024,16384,yellow,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers2_WfloatAfloat_P0_RFbase_boundary.yaml
res256_layers3_W2A2_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W2A2_P0_RFbase.yaml
res256_layers3_W3A3_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W3A3_P0_RFbase.yaml
res256_layers3_W4A4_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W4A4_P0_RFbase.yaml
res256_layers3_W6A6_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W6A6_P0_RFbase.yaml
res256_layers3_W8A8_P0_RFbase,4,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_W8A8_P0_RFbase.yaml
res256_layers3_WfloatAfloat_P0_RFbase,2,256,3,"[8, 16, 24]",16,16,24,"[16, 16]",256,6144,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers3_WfloatAfloat_P0_RFbase.yaml
res256_layers4_W2A2_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W2A2_P0_RFbase.yaml
res256_layers4_W3A3_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W3A3_P0_RFbase.yaml
res256_layers4_W4A4_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W4A4_P0_RFbase.yaml
res256_layers4_W6A6_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W6A6_P0_RFbase.yaml
res256_layers4_W8A8_P0_RFbase,4,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_W8A8_P0_RFbase.yaml
res256_layers4_WfloatAfloat_P0_RFbase,2,256,4,"[8, 16, 24, 24]",8,8,24,"[8, 8]",64,1536,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers4_WfloatAfloat_P0_RFbase.yaml
res256_layers5_W2A2_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W2A2_P0_RFbase.yaml
res256_layers5_W3A3_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W3A3_P0_RFbase.yaml
res256_layers5_W4A4_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W4A4_P0_RFbase.yaml
res256_layers5_W6A6_P0_RFbase,4,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W6A6_P0_RFbase.yaml
res256_layers5_W8A8_P0_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P0_RFbase.yaml
res256_layers5_W8A8_P25_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,25,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P25_RFbase.yaml
res256_layers5_W8A8_P50_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P50_RFbase.yaml
res256_layers5_W8A8_P75_RFbase,4.5,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,8,8,75,1,pending,,configs/hls4ml_experiment_global/res256_layers5_W8A8_P75_RFbase.yaml
res256_layers5_WfloatAfloat_P0_RFbase,2,256,5,"[8, 16, 24, 24, 32]",4,4,32,"[4, 4]",16,512,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers5_WfloatAfloat_P0_RFbase.yaml
res256_layers6_W2A2_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,2,2,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W2A2_P0_RFbase.yaml
res256_layers6_W3A3_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,3,3,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W3A3_P0_RFbase.yaml
res256_layers6_W4A4_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,4,4,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W4A4_P0_RFbase.yaml
res256_layers6_W6A6_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,6,6,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W6A6_P0_RFbase.yaml
res256_layers6_W8A8_P0_RFbase,4,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P0_RFbase.yaml
res256_layers6_W8A8_P50_RFResource1,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource1.yaml
res256_layers6_W8A8_P50_RFResource2,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,2,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource2.yaml
res256_layers6_W8A8_P50_RFResource4,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,4,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource4.yaml
res256_layers6_W8A8_P50_RFResource8,5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,8,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFResource8.yaml
res256_layers6_W8A8_P50_RFbase,4.5,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers6_W8A8_P50_RFbase.yaml
res256_layers6_WfloatAfloat_P0_RFbase,2,256,6,"[8, 16, 24, 24, 32, 32]",2,2,32,"[2, 2]",4,128,green,float,float,0,1,pending,,configs/hls4ml_experiment_global/res256_layers6_WfloatAfloat_P0_RFbase.yaml
res256_layers7_W8A8_P0_RFbase,4,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,0,1,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P0_RFbase.yaml
res256_layers7_W8A8_P50_RFResource1,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,1,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource1.yaml
res256_layers7_W8A8_P50_RFResource2,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,2,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource2.yaml
res256_layers7_W8A8_P50_RFResource4,5,256,7,"[8, 16, 24, 24, 32, 32, 32]",1,1,32,"[1, 1]",1,32,green,8,8,50,4,pending,,configs/hls4ml_experiment_global/res256_layers7_W8A8_P50_RFResource4.yaml
